Unnamed: 0,country_code,city_code,store_name,product_name,collection_section,product_description,subset,hash,aux_store,HIER,s3_path
0,CL,STG,AS_000,Savital Shampoo Keratina Y Sabila 550Ml (0000123592),Shampoo,,train,3509449892161349181,True,False,dataset/NZTCKFL_0017467_1193055503.png
3,CL,STG,AS_001,Suav Vivere Hierbas F Jazmin Pouch 900Cc,Suavizantes,,train,-3420249778599023770,True,False,dataset/NZTCKFL_0025186_1197233181.png
4,CL,STG,AS_000,Leoncio Y El Doctor Veterinario,Infantil,,train,2295647601757404193,True,False,dataset/NZTCKFL_0061335_1296271395.png
5,ES,SEV,Fastwine - Bebidas a domicilio,Avellana Tostada San Blas  Envase 200 gr de 200 gr,Snacks,,train,7238676515958472456,False,True,dataset/SCMSMXC_0013274_1476400363.png
7,ES,MAD,Le Coq,Salsa miel y mostaza,Salsas extras,,train,365683565654519026,False,True,dataset/YJWRKVT_0059715_1285354421.png
9,AR,MDZ,AS_003,Hamburguesa Otto Kunz Premium 100% Pura Carne De Res Paquete 8Un,Res,,train,2190848362148074174,True,False,dataset/RSDQDRN_0024494_1277659032.png
10,AR,MDZ,AS_004,Toalla Fem Always Basica Seca 8U,Toallitas Femeninas,,train,6644888024220621088,True,False,dataset/RSDQDRN_0015836_1181880507.png
14,PA,CRA,ZAZ,Schweppes Club Soda Lata 12Oz,Sodas,,train,-8438668440474136847,False,True,dataset/NMGQHQX_0004716_1254422212.png
16,PE,LIM,AS_006,Fresh Market Postre Fantasía Chocolate 150 g,Dulce,,train,4436205203027731882,True,False,dataset/VJTTJQD_0157049_1294590257.png
21,CL,STG,AS_008,Consome De Res Malher Bote 454G,Especias Y Sazonadores,,train,6506586134515942610,True,False,dataset/NZTCKFL_0068380_1348484908.png
23,EC,GYE,Supermercados Delportal,Crema Instantanea Choclo Maggi Sobre 79 Gr,Sopas Y Cremas,,train,-7173132652352675784,False,True,dataset/WBDKYZB_0112931_1152063359.png
26,AR,COR,AS_009,Cerveza Artesanal MADDOK Rocoto Botella 330ml,Cervezas Importadas,,train,2768524917103371979,True,False,dataset/HLKTVWG_0005942_710279562.png
28,PE,LIM,AS_010,"Chile en Polvo Roland, 454 gramos",Condimentos,,train,1992135946484597787,True,False,dataset/VJTTJQD_0244298_1666245608.png
33,CL,VIN,AS_703,Milanesa de lomo apanada con spaguetti pesto,Platos de estación,,train,3746363036979274891,True,False,dataset/DYBHWCJ_0003141_1244766665.png
37,CL,LSC,AS_011,Toalla Saba Buenas Noches Alas 8Un,Toallas Sanitarias,,train,-1033412314531952570,True,False,dataset/QDCWTDR_0004385_1191485629.png
39,ES,BCN,Hard Rock Cafe,Family Fries - Classic,Sides,,train,-1463542818260643549,False,True,dataset/BFDKZRG_0121012_1427718096.png
42,PE,LIM,AS_013,The Ritual Of Ayurveda Foaming Shower Gel 200Ml,Geles de baño,,train,-6457623727052946354,True,False,dataset/VJTTJQD_0260266_1764733649.png
45,PE,LIM,AS_014,Fanta Kolita Desechable 600 Ml,Gaseosas,,train,576809795625854502,True,False,dataset/VJTTJQD_0051459_1144221399.png
46,AR,MDZ,AS_015,Atun Sardimar Light Chile Jalapeño 140 Gr,Atunes,,train,4287842614087999319,True,False,dataset/RSDQDRN_0006739_996272238.png
47,AR,BUE,AS_016,Kit Cabello Post Alisado Kerastimask Placenta Life Be Natural 1 Ud.,Otros Productos Cabello,,train,-3177098232550291036,True,False,dataset/CBNGZLF_0042555_1511828574.png
49,ES,BIL,El Súper de los Pastores,Paté al Txakol Urdetxei Lata 130 g,Patés,Basatxerri Cerdo criado en libertad en los prados y montes vascos,train,-9127170203206006903,False,True,dataset/MQJTBRD_0008859_2329850020.png
50,CL,STG,AS_017,Sándwich de lomo con tomate natural y rúcula fresca,Sándwiches,,train,5557741907460496578,True,False,dataset/NZTCKFL_0066297_1333536329.png
53,GT,AAZ,AS_018,Marques De Caceres  Vino Tinto 750 Ml,Bebidas Alcoholicas,,train,-1131686751572679366,True,False,dataset/BBYJKXD_0008047_1150332885.png
54,EC,GYE,Supermercados Delportal,Salsa Mayonesa Maggi Funda 200 Gr,Cremas,,train,5035349162720199527,False,True,dataset/WBDKYZB_0009592_910466145.png
55,AR,BOE,57380 (BOE),Galak Sanduche 87 Gr,Galleta,,train,-6415724832639216394,False,True,dataset/DDLRZFC_0007610_1052851598.png
63,CR,SJO,Adicora Wings,Wings para uno (10% off),Wings,6 deliciosas alitas acompañadas de  nuestras papas artesanales  con una salsa a escoger,train,4797676605486605106,False,True,dataset/FBVLDWQ_0005575_1179192014.png
64,AR,ROS,Mostaza, Combo Cuádruple Tower Bacon Jr,Combos,"Cuadruple Medallon de Carne con delicioso queso cheddar y bacon crocante ,  salsa barbacoa y cebollita acompañado de papas fritas crujientes y gaseosa a elección",train,4555516460251167300,False,True,dataset/KLLRBTH_0005481_1360142013.png
66,CL,LSC,Tottus La Serena,Espumante Amaranta Demi Sec 750Cc 12º Gl,Vinos,,train,-2234666838955485193,False,True,dataset/QDCWTDR_0001538_24913097.png
67,ES,TGN,Foster's Hollywood,B&J's Strawberry Cheesecake 100ml,Postres,Delicioso helado con sabor a tarta de queso con fresas y remolinos de galleta.,train,-2914285943266117734,False,True,dataset/XLCJMPP_0008227_2091212194.png
69,ES,SLM,AS_021,Piña Golden,"Papaya, Mango y Piña",,train,-6166523946189689709,True,False,dataset/ZFRHCRK_0002516_707565409.png
70,ES,BCN,AS_022,Qlaira x 28 Comp,Anticonceptivos,,train,2711471965355294209,True,False,dataset/BFDKZRG_0074462_1157077954.png
73,ES,RJL,Clarel,Mini Crema Intensiva Dove 75Ml,BODY MILK/CREMA CUERPO,,train,-6917408865069881327,False,True,dataset/HJCSZHB_0001472_1134939979.png
77,HN,LCE,Pollo Campero,Banquete Familiar 6 Piezas,Banquetes Familiares,"Banquete de 6 deliciosas piezas de pollo con sabor tierno, jugoso y crujiente; que te incluye 3 acompañamientos de tu elección, 3 panes y bebida 2 litros.",train,-8286053901969479424,False,True,dataset/BKRVGYJ_0000185_1303631017.png
83,ES,MAD,AS_023,Vino Adobe Merlot Organico - 750Ml,Vino Tinto,,train,-1566713275026159701,True,False,dataset/YJWRKVT_0081666_1549934143.png
84,PE,LIM,AS_024,Issue Pack X 2 1 Negro Precio Especial,Tintes Con Amoniaco,,train,763666077777371014,True,False,dataset/VJTTJQD_0114524_1250151054.png
87,ES,REU,Clarel,Champú Total Repair Herbal Essences 750 Ml.,Champus,,train,8693491605788543535,False,True,dataset/NFVHFNH_0003674_1429965692.png
89,CL,STG,AS_026,Vi Negre Jove D.O. Rioja Ari Goitia 75 Cl.,Vins Negres,,train,-1168803836050988478,True,False,dataset/NZTCKFL_0104408_2352611391.png
90,ES,VAL,Cookies En el Bote,Cookies Bote Pequeño,Cookies,,train,-4451150854010236172,False,True,dataset/PPKWSJR_0043479_1665632069.png
91,ES,SLM,AS_021,Vino Santiago Queirolo Rosé Shiraz Botella 2L,Vino Rosé,,train,-5898201178050936641,True,False,dataset/ZFRHCRK_0005671_708517679.png
94,ES,BCN,Lolita Bakery,Menú Twister,BURGERS DE #POLLOPOLLO,"Crujientes tiras de pechuga envueltas en una tortilla tostada con tomate, lechuga y nuestra exclusiva salsa Pepper Mayo. Con bebida y complemento.",train,8416736226944482701,False,True,dataset/BFDKZRG_0022399_436566589.png
96,ES,BCN,Moncho´s House,Burger Veggie,Burgers,"Vegana, coleslaw, salsa de rábano picante y encurtidos ",train,8997666206120298189,False,True,dataset/BFDKZRG_0063319_1137118738.png
98,ES,MAD,Herbívoro,Tarta de queso,Paraíso Dulce,Con culis de frutos rojos.,train,-943169656282163061,False,True,dataset/YJWRKVT_0047010_1187344444.png
101,ES,MAT,CO Insta - Container Store,Gyozas de Langostino (5 uds),Gyozas,,train,2808774594408402962,False,True,dataset/VWGBWJK_0000842_611867922.png
104,ES,MAL,Wefresh,Nestea Té Negro Limón lata 330ml.,Bebidas,,train,-4343589935423362372,False,True,dataset/ZYBZGJX_0007565_1374652204.png
105,ES,BCN,AS_028,Tinte Syoss Oi 10-50 Rubio Clr Cen50Ml,Coloración permanente,,train,1772995257680584,True,False,dataset/BFDKZRG_0162508_1776867172.png
116,ES,BCN,Poke Show,Uramaki Roll Ebi Tempura Sake (8 uds),Sushi,,train,4602174296788942599,False,True,dataset/BFDKZRG_0001615_1649469.png
118,EC,GYE,Tía,Alimento P/Perro Adulto R/Peq Nutrapro 2 Kg,Alimentos Para Perros,,train,1952390100889251872,False,True,dataset/WBDKYZB_0010326_913527409.png
119,EC,VDC,Santa María,Galleta Noglut Waffer Vainilla Sin Gluten,Galletas Especiales,,train,93375804232118897,False,True,dataset/CKBSJCC_0058701_1267526680.png
121,AR,COR,AS_009,Chuleta de Pavita,Pavo,,train,-3210995707086865506,True,False,dataset/HLKTVWG_0006847_710283046.png
122,EC,VDC,El Encocado,Ceviche de cangrejo,Ceviches,"Ceviche con pulpa de cangrejo acompañado con porción de canguil, chifle y tostado.",train,2670234521530441373,False,True,dataset/CKBSJCC_0071213_1349795681.png
